"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Is ChatGPT the ultimate programming assistant--how far is it?","https://scispace.com/paper/yTX3TfSSdXUJ","","","","H Tian
W Lu
TO Li
X Tang
SC Cheung","","https://arxiv.org/pdf/2304.11938","… LLM, we conducted an extensive experiment to investigate ChatGPT’s capability in performing various software … , we explore LLM in generating code functions through the programming …",""
"Perfcodegen: Improving performance of llm generated code with execution feedback","https://scispace.com/paper/perfcodegen-improving-performance-of-llm-generated-code-with-6jdjnb19n510","2024","Journal Article","","Yün Peng
Akhilesh Gotmare
Michael R. Lyu
Caiming Xiong
Silvio Savarese
Doyen Sahoo","10.48550/arxiv.2412.03578","https://arxiv.org/pdf/2412.03578?","… from the base LLM for … performance refinement, we first assess the runtime required by correct solutions for each unit test. We then provide verbalised performance feedback to the LLM …","Large Language Models (LLMs) are widely adopted for assisting in software development tasks, yet their performance evaluations have narrowly focused on the functional correctness of generated code. Human programmers, however, require LLM-generated code to be not only correct but also optimally efficient. We propose PerfCodeGen, a training-free framework that enhances the performance of LLM-generated code by incorporating feedback based on runtime during test case execution into the self-refinement iterations. With PerfCodeGen, we achieve speedups for a significantly higher proportion of problems compared to using the base LLM with sophisticated prompting techniques. Applied to open language models like Phi-3-mini, PerfCodeGen achieves runtime efficiency comparable to prompting powerful closed models like GPT-4. We achieve state-of-the-art runtime efficiency on benchmarks such as HumanEval, MBPP, and APPS, frequently surpassing the ground truth reference solutions with PerfCodeGen using GPT-3.5 and GPT-4. Additionally, we demonstrate the effectiveness of our approach in enhancing code quality across a range of open LLMs of varying sizes including Phi-3-mini, Llama 3 8B, Mixtral 8x7B, Command R, and Llama 3 70B. "
"Large language model assisted software engineering: prospects, challenges, and a case study","https://scispace.com/paper/large-language-model-assisted-software-engineering-prospects-3td0wscuz0","","Journal Article","","Lenz Belzner
Thomas Gabor
Martin Wirsing","10.1007/978-3-031-46002-9_23","","… a case study with illustrative examples of LLM application in selected phases of the software development … By setting the scope that comprises the early development phases, code and …","Large language models such as OpenAI's GPT and Google's Bard offer new opportunities for supporting software engineering processes. Large language model assisted software engineering promises to support developers in a conversational way with expert knowledge over the whole software lifecycle. Current applications range from requirements extraction, ambiguity resolution, code and test case generation, code review and translation to verification and repair of software vulnerabilities. In this paper we present our position on the potential benefits and challenges associated with the adoption of language models in software engineering. In particular, we focus on the possible applications of large language models for requirements engineering, system design, code and test generation, code quality reviews, and software process management. We also give a short review of the state-of-the-art of large language model support for software construction and illustrate our position by a case study on the object-oriented development of a simple ""search and rescue"" scenario. "
"How novices use LLM-based code generators to solve CS1 coding tasks in a self-paced learning environment","https://scispace.com/paper/how-novices-use-llm-based-code-generators-to-solve-cs1-1x6z2gd88o","2023","Journal Article","arXiv.org","Majeed Kazemitabaar
Xinying Hou
A. Henley
Barb Ericson
David Weintrop
Tovi Grossman","10.48550/arxiv.2309.14049","https://dl.acm.org/doi/pdf/10.1145/3631802.3631806","… of the Hybrid coding approach and their post-test evaluation scores, while showing consistent negative trends between the AI Single Prompt and the post-test evaluation scores. …","As Large Language Models (LLMs) gain in popularity, it is important to understand how novice programmers use them and the effect they have on learning to code. We present the results of a thematic analysis on a data set from 33 learners, aged 10-17, as they independently learned Python by working on 45 code-authoring tasks with access to an AI Code Generator based on OpenAI Codex. We explore several important questions related to how learners used LLM-based AI code generators, and provide an analysis of the properties of the written prompts and the resulting AI generated code. Specifically, we explore (A) the context in which learners use Codex, (B) what learners are asking from Codex in terms of syntax and logic, (C) properties of prompts written by learners in terms of relation to task description, language, clarity, and prompt crafting patterns, (D) properties of the AI-generated code in terms of correctness, complexity, and accuracy, and (E) how learners utilize AI-generated code in terms of placement, verification, and manual modifications. Furthermore, our analysis reveals four distinct coding approaches when writing code with an AI code generator: AI Single Prompt, where learners prompted Codex once to generate the entire solution to a task; AI Step-by-Step, where learners divided the problem into parts and used Codex to generate each part; Hybrid, where learners wrote some of the code themselves and used Codex to generate others; and Manual coding, where learners wrote the code themselves. Our findings reveal consistently positive trends between learners’ utilization of the Hybrid coding approach and their post-test evaluation scores, while showing consistent negative trends between the AI Single Prompt and the post-test evaluation scores. Furthermore, we offer insights into novice learners’ use of AI code generators in a self-paced learning environment, highlighting signs of over-reliance, self-regulation, and opportunities for enhancing AI-assisted learning tools."
"Large language model-based agents for software engineering: A survey","https://scispace.com/paper/large-language-model-based-agents-for-software-engineering-a-5edi77w6grl0","2024","Journal Article","","Junwei Liu
Kaixin Wang
Yixuan Chen
Xin Peng
Zhenpeng Chen
Lingming Zhang
Yiling Lou","10.48550/arxiv.2409.02977","https://dl.acm.org/doi/pdf/10.1145/3796507","… In this work, we present a comprehensive and systematic survey on LLM-based agents for … , we analyze how LLM-based agents are applied across different software development and …","The recent advance in Large Language Models (LLMs) has shaped a new paradigm of AI agents, i.e., LLM-based agents. Compared to standalone LLMs, LLM-based agents substantially extend the versatility and expertise of LLMs by enhancing LLMs with the capabilities of perceiving and utilizing external resources and tools. To date, LLM-based agents have been applied and shown remarkable effectiveness in Software Engineering (SE). The synergy between multiple agents and human interaction brings further promise in tackling complex real-world SE problems. In this work, we present a comprehensive and systematic survey on LLM-based agents for SE. We collect 106 papers and categorize them from two perspectives, i.e., the SE and agent perspectives. In addition, we discuss open challenges and future directions in this critical domain. The repository of this survey is at https://github.com/FudanSELab/Agent4SE-Paper-List. "
"A survey on evaluating large language models in code generation tasks","https://scispace.com/paper/a-survey-on-evaluating-large-language-models-in-code-3fvjq0132z1j","2024","Journal Article","","Liguo Chen
Qi Guo
Hongrui Jia
Zhengran Zeng
Li Wang
Yijiang Xu
Jian Wu
Yidong Wang
Qing Gao
Jindong Wang
Wei Ye
Shikun Zhang","10.48550/arxiv.2408.16498","https://arxiv.org/pdf/2408.16498","… and metrics for evaluating the performance of LLM … performance of models across different tasks, emphasizing the need for meticulous strategies to enhance LLM capabilities in software …","This paper provides a comprehensive review of the current methods and metrics used to evaluate the performance of Large Language Models (LLMs) in code generation tasks. With the rapid growth in demand for automated software development, LLMs have demonstrated significant potential in the field of code generation. The paper begins by reviewing the historical development of LLMs and their applications in code generation. Next, it details various methods and metrics for assessing the code generation capabilities of LLMs, including code correctness, efficiency, readability, and evaluation methods based on expert review and user experience. The paper also evaluates the widely used benchmark datasets, identifying their limitations and proposing directions for future improvements. Specifically, the paper analyzes the performance of code generation models across different tasks by combining multiple evaluation metrics, such as code compilation/interpretation success rates, unit test pass rates, and performance and efficiency metrics, to comprehensively assess the practical application of LLMs in code generation. Finally, the paper discusses the challenges faced in evaluating LLMs in code generation, particularly how to ensure the comprehensiveness and accuracy of evaluation methods and how to adapt to the evolving practices of software development. These analyses and discussions provide valuable insights for further optimizing and improving the application of LLMs in code generation tasks. "
"Ai-generated code is not reproducible (yet): An empirical study of dependency gaps in llm-based coding agents","https://scispace.com/paper/OKwzF6C3cekJ","","","","BP Vangala
A Adibifar
A Gehani
T Malik","","https://arxiv.org/pdf/2512.22387","… We evaluate three state-of-the-art LLM coding agents (Claude Code, OpenAI Codex, and … evaluation process mimicked exactly what a real developer would do when trying to run LLM…",""
"Codepori: Large-scale system for autonomous software development using multi-agent technology","https://scispace.com/paper/codepori-large-scale-system-for-autonomous-software-3ar1ifo966r0","2024","Journal Article","","Zeeshan Rasheed
Sami Malik
Kai‐Kristian Kemell
Muhammad Waseem
Mika Saari
Kari Systä
Pekka Abrahamsson","10.2139/ssrn.4979510","https://arxiv.org/pdf/2402.01411","… Objective: This paper aims to investigate the potential of LLM-based agents in the software … To assess the proposed system performance, we utilized the HumanEval benchmark and …",""
"Continuance use of AI coding assistants among South Korean Industry Developers: A survey case study with large language models","https://scispace.com/paper/continuance-use-of-ai-coding-assistants-among-south-korean-fi3zpx2xq8fz","2025","Journal Article","Empirical Software Engineering","Eunil Park
Eunil Park
Eunil Park","10.1007/s10664-025-10730-1","","… ’ continual intention to use LLM-oriented programming tools within software engineering environments. By analyzing LLM adoption in practical programming tasks, we extend prior …",""
"Codeultrafeedback: An llm-as-a-judge dataset for aligning large language models to coding preferences","https://scispace.com/paper/codeultrafeedback-an-llm-as-a-judge-dataset-for-aligning-4u8p4tvhql","2024","Journal Article","arXiv.org","Martin Weyssow
Aton Kamanda
Houari Sahraoui","10.48550/arxiv.2403.09032","","… To address this gap, we introduce the LLM-as-a-Judge evaluation framework and present … LLM alignment with coding preferences. CodeUltraFeedback consists of 10,000 coding …","Evaluating the alignment of large language models (LLMs) with user-defined coding preferences is a challenging endeavour that requires assessing intricate textual LLMs' outputs. By relying on automated metrics and static analysis tools, existing benchmarks fail to assess nuances in user instructions and LLM outputs, highlighting the need for large-scale datasets and benchmarks for LLM preference alignment. In this paper, we introduce CodeUltraFeedback, a preference dataset of 10,000 complex instructions to tune and align LLMs to coding preferences through AI feedback. We generate responses to the instructions using a pool of 14 diverse LLMs, which we then annotate according to their alignment with five coding preferences using the LLM-as-a-Judge approach with GPT-3.5, producing both numerical and textual feedback. We also present CODAL-Bench, a benchmark for assessing LLM alignment with these coding preferences. Our results show that CodeLlama-7B-Instruct, aligned through reinforcement learning from AI feedback (RLAIF) with direct preference optimization (DPO) using CodeUltraFeedback's AI feedback data, outperforms 34B LLMs on CODAL-Bench, validating the utility of CodeUltraFeedback for preference tuning. Furthermore, we show our DPO-aligned CodeLlama model improves functional correctness on HumanEval+ compared to the unaligned base model. Therefore, our contributions bridge the gap in preference tuning of LLMs for code and set the stage for further advancements in model alignment and RLAIF for code intelligence. Our code and data are available at https://github.com/martin-wey/CodeUltraFeedback."
"Codeultrafeedback: An llm-as-a-judge dataset for aligning large language models to coding preferences","https://scispace.com/paper/codeultrafeedback-an-llm-as-a-judge-dataset-for-aligning-4u8p4tvhql","2024","Journal Article","arXiv.org","Martin Weyssow
Aton Kamanda
Houari Sahraoui","10.48550/arxiv.2403.09032","","… To address this gap, we introduce the LLM-as-a-Judge evaluation framework and present … LLM alignment with coding preferences. CodeUltraFeedback consists of 10,000 coding …","Evaluating the alignment of large language models (LLMs) with user-defined coding preferences is a challenging endeavour that requires assessing intricate textual LLMs' outputs. By relying on automated metrics and static analysis tools, existing benchmarks fail to assess nuances in user instructions and LLM outputs, highlighting the need for large-scale datasets and benchmarks for LLM preference alignment. In this paper, we introduce CodeUltraFeedback, a preference dataset of 10,000 complex instructions to tune and align LLMs to coding preferences through AI feedback. We generate responses to the instructions using a pool of 14 diverse LLMs, which we then annotate according to their alignment with five coding preferences using the LLM-as-a-Judge approach with GPT-3.5, producing both numerical and textual feedback. We also present CODAL-Bench, a benchmark for assessing LLM alignment with these coding preferences. Our results show that CodeLlama-7B-Instruct, aligned through reinforcement learning from AI feedback (RLAIF) with direct preference optimization (DPO) using CodeUltraFeedback's AI feedback data, outperforms 34B LLMs on CODAL-Bench, validating the utility of CodeUltraFeedback for preference tuning. Furthermore, we show our DPO-aligned CodeLlama model improves functional correctness on HumanEval+ compared to the unaligned base model. Therefore, our contributions bridge the gap in preference tuning of LLMs for code and set the stage for further advancements in model alignment and RLAIF for code intelligence. Our code and data are available at https://github.com/martin-wey/CodeUltraFeedback."
"Rethinking code review workflows with llm assistance: An empirical study","https://scispace.com/paper/rethinking-code-review-workflows-with-llm-assistance-an-52cht7gfm5ke","2025","Journal Article","","Cheng, Chih-Hong","10.48550/arxiv.2505.16339","https://arxiv.org/pdf/2505.16339","… aspect of modern software development, increasingly … , followed by a field experiment with two LLM-assisted review prototypes: … Conclusions: LLM-assisted reviews can reduce cognitive …","Code reviews are a critical yet time-consuming aspect of modern software development, increasingly challenged by growing system complexity and the demand for faster delivery. This paper presents a study conducted at WirelessCar Sweden AB, combining an exploratory field study of current code review practices with a field experiment involving two variations of an LLM-assisted code review tool. The field study identifies key challenges in traditional code reviews, including frequent context switching, insufficient contextual information, and highlights both opportunities (e.g., automatic summarization of complex pull requests) and concerns (e.g., false positives and trust issues) in using LLMs. In the field experiment, we developed two prototype variations: one offering LLM-generated reviews upfront and the other enabling on-demand interaction. Both utilize a semantic search pipeline based on retrieval-augmented generation to assemble relevant contextual information for the review, thereby tackling the uncovered challenges. Developers evaluated both variations in real-world settings: AI-led reviews are overall more preferred, while still being conditional on the reviewers' familiarity with the code base, as well as on the severity of the pull request. "
"Evaluation of LLM tools for feedback generation in a course on concurrent programming","https://scispace.com/paper/evaluation-of-llm-tools-for-feedback-generation-in-a-course-4m6opez2gd","2024","Journal Article","International Journal of Artificial Intelligence in Education","Iria Estévez-Ayres
Patricia Callejo
M.Á. Hombrados-Herrera
Carlos Alario-Hoyos
Carlos Delgado Kloos","10.1007/s40593-024-00406-0","https://link.springer.com/content/pdf/10.1007/s40593-024-00406-0.pdf","… exercises in a university programming course. The complexity of the programming topic in this … All attempts result in an accuracy rate of 50%, meaning that both tools have limitations in …","Abstract The emergence of Large Language Models (LLMs) has marked a significant change in education. The appearance of these LLMs and their associated chatbots has yielded several advantages for both students and educators, including their use as teaching assistants for content creation or summarisation. This paper aims to evaluate the capacity of LLMs chatbots to provide feedback on student exercises in a university programming course. The complexity of the programming topic in this study (concurrency) makes the need for feedback to students even more important. The authors conducted an assessment of exercises submitted by students. Then, ChatGPT (from OpenAI) and Bard (from Google) were employed to evaluate each exercise, looking for typical concurrency errors, such as starvation, deadlocks, or race conditions. Compared to the ground-truth evaluations performed by expert teachers, it is possible to conclude that none of these two tools can accurately assess the exercises despite the generally positive reception of LLMs within the educational sector. All attempts result in an accuracy rate of 50%, meaning that both tools have limitations in their ability to evaluate these particular exercises effectively, specifically finding typical concurrency errors. "
