"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The Role of Generative AI in Software Development Productivity: A Pilot
  Case Study","https://scispace.com/paper/the-role-of-generative-ai-in-software-development-aqbqjwmnc1","2024","Preprint","","Mariana Coutinho
Leila Soares Marques
André Soares Santos
Márcio Dahia
César França
Ronnie de Souza Santos","10.48550/arxiv.2406.00560","","With software development increasingly reliant on innovative technologies, there is a growing interest in exploring the potential of generative AI tools to streamline processes and enhance productivity. In this scenario, this paper investigates the integration of generative AI tools within software development, focusing on understanding their uses, benefits, and challenges to software professionals, in particular, looking at aspects of productivity. Through a pilot case study involving software practitioners working in different roles, we gathered valuable experiences on the integration of generative AI tools into their daily work routines. Our findings reveal a generally positive perception of these tools in individual productivity while also highlighting the need to address identified limitations. Overall, our research sets the stage for further exploration into the evolving landscape of software development practices with the integration of generative AI tools. ","The integration of generative AI tools in software development can enhance individual productivity, but also presents challenges."
"Self-Admitted GenAI Usage in Open-Source Software","https://scispace.com/paper/self-admitted-genai-usage-in-open-source-software-qzr8trkms1vg","2025","Journal Article","arXiv.org","Tao Xiao
Youmei Fan
Fabio Calefato
Christoph Treude
Raula Gaikovina Kula
Hideaki Hata
Sebastian Baltes","10.48550/arxiv.2507.10422","","The widespread adoption of generative AI (GenAI) tools such as GitHub Copilot and ChatGPT is transforming software development. Since generated source code is virtually impossible to distinguish from manually written code, their real-world usage and impact on open-source software development remain poorly understood. In this paper, we introduce the concept of self-admitted GenAI usage, that is, developers explicitly referring to the use of GenAI tools for content creation in software artifacts. Using this concept as a lens to study how GenAI tools are integrated into open-source software projects, we analyze a curated sample of more than 250,000 GitHub repositories, identifying 1,292 such self-admissions across 156 repositories in commit messages, code comments, and project documentation. Using a mixed methods approach, we derive a taxonomy of 32 tasks, 10 content types, and 11 purposes associated with GenAI usage based on 284 qualitatively coded mentions. We then analyze 13 documents with policies and usage guidelines for GenAI tools and conduct a developer survey to uncover the ethical, legal, and practical concerns behind them. Our findings reveal that developers actively manage how GenAI is used in their projects, highlighting the need for project-level transparency, attribution, and quality control practices in the new era of AI-assisted software development. Finally, we examine the impact of GenAI adoption on code churn in 151 repositories with self-admitted GenAI usage and find no general increase, contradicting popular narratives on the impact of GenAI on software development.","This study examines self-admitted GenAI usage in open-source software, analyzing 1,292 instances across 156 GitHub repositories, and finds developers actively manage AI usage, highlighting the need for transparency, attribution, and quality control practices."
"Generative Artificial Intelligence for Software Engineering - A Research Agenda","https://scispace.com/paper/generative-artificial-intelligence-for-software-engineering-pxke3r4xpy","2023","Journal Article","arXiv.org","Anh Nguyen Duc
Beatriz Cabrero Daniel
Adam Przybylek
Chetan Arora
Dron Khanna
Tomas Herda
Usman Rafiq
Jorge Melegati
Eduardo Guerra
Kai-Kristian Kemell
Mika Saari
Zheying Zhang
Huy Le
Tho Quan
Pekka Abrahamsson","10.48550/arxiv.2310.18648","","Generative Artificial Intelligence (GenAI) tools have become increasingly prevalent in software development, offering assistance to various managerial and technical project activities. Notable examples of these tools include OpenAIs ChatGPT, GitHub Copilot, and Amazon CodeWhisperer. Although many recent publications have explored and evaluated the application of GenAI, a comprehensive understanding of the current development, applications, limitations, and open challenges remains unclear to many. Particularly, we do not have an overall picture of the current state of GenAI technology in practical software engineering usage scenarios. We conducted a literature review and focus groups for a duration of five months to develop a research agenda on GenAI for Software Engineering. We identified 78 open Research Questions (RQs) in 11 areas of Software Engineering. Our results show that it is possible to explore the adoption of GenAI in partial automation and support decision-making in all software development activities. While the current literature is skewed toward software implementation, quality assurance and software maintenance, other areas, such as requirements engineering, software design, and software engineering education, would need further research attention. Common considerations when implementing GenAI include industry-level assessment, dependability and accuracy, data accessibility, transparency, and sustainability aspects associated with the technology. GenAI is bringing significant changes to the field of software engineering. Nevertheless, the state of research on the topic still remains immature. We believe that this research agenda holds significance and practical value for informing both researchers and practitioners about current applications and guiding future research. ","The results show that it is possible to explore the adoption of GenAI in partial automation and support decision-making in all software development activities and that other areas, such as requirements engineering, software design, and software engineering education, would need further research attention."
"Experience with GitHub Copilot for Developer Productivity at Zoominfo","https://scispace.com/paper/experience-with-github-copilot-for-developer-productivity-at-6sb5fdbgdo4n","2025","Journal Article","","Gal Bakal
Ali Dasdan
Y. Katz
Michael Kaufman
G. V. Levin","10.48550/arxiv.2501.13282","","This paper presents a comprehensive evaluation of GitHub Copilot's deployment and impact on developer productivity at Zoominfo, a leading Go-To-Market (GTM) Intelligence Platform. We describe our systematic four-phase approach to evaluating and deploying GitHub Copilot across our engineering organization, involving over 400 developers. Our analysis combines both quantitative metrics, focusing on acceptance rates of suggestions given by GitHub Copilot and qualitative feedback given by developers through developer satisfaction surveys. The results show an average acceptance rate of 33% for suggestions and 20% for lines of code, with high developer satisfaction scores of 72%. We also discuss language-specific performance variations, limitations, and lessons learned from this medium-scale enterprise deployment. Our findings contribute to the growing body of knowledge about AI-assisted software development in enterprise settings. ","This study evaluates GitHub Copilot's impact on developer productivity at Zoominfo, a leading GTM Intelligence Platform, through a four-phase approach involving over 400 developers, yielding an average 33% acceptance rate of suggestions and 72% developer satisfaction."
"Code Quality Generated by AI Tools: A Review","https://scispace.com/paper/code-quality-generated-by-ai-tools-a-review-2owlc8j20gtl","2025","Journal Article","IOSR Journal of Computer Engineering","Itiza Sharma
Dhavleesh Rattan","10.9790/0661-2703035568","","The research explores the transformative impact of artificial intelligence (AI) on software development, highlighting the specific advancements in code era, evaluation, and maintenance. It discusses the abilities of numerous AI-powered tools, which includes ChatGPT, GitHub Copilot, and Google Bard, which assist developers with the aid of automating repetitive tasks, generating test cases, and identifying bugs and security vulnerabilities. While these tools enhance productivity and code quality, the paper additionally addresses risks, including the technology of erroneous or inefficient code and security vulnerabilities that can arise from reliance on AIgenerated outputs. A systematic review methodology is employed to investigate the present literature on AIgenerated code quality, emphasizing the necessity of human oversight for making the best outcomes. The research concludes by way of evaluating the effectiveness of these AI methodologies in enhancing software improvement approaches, outlining fine practices for integrating AI tools into coding practices, and emphasizing the stability between automation and the want for human know-how ","This review examines AI's transformative impact on software development, highlighting advancements in code generation, evaluation, and maintenance, while discussing the benefits and risks of AI-powered tools, including automation, productivity, and security vulnerabilities."
"AI Code Assistants in Secure Software Development: Opportunities, Risks, and Best Practices","https://scispace.com/paper/ai-code-assistants-in-secure-software-development-l7ms5nm8c9me","2025","Journal Article","","Md. Nurul Islam
Mostafa Galib
Muneeb Zafar Alvi
Md. Badiuzzaman Biplob","10.20944/preprints202507.1144.v1","","Software development productivity, code quality, and knowledge sharing have all increased dramatically with the use of AI code assistants like GitHub Copilot. These technologies provide real-time suggestions, expedite workflows, and speed up prototyping by utilising massive language models that have been trained on extensive code repositories. However, serious questions about software security, developer dependency, and ethical ramifications are brought up by their increasing use. The advantages and disadvantages of AI code helpers for safe software development are discussed in this study. It highlights how crucial human oversight, frequent security audits, ongoing model upgrades, and conformity to DevSecOps and OWASP guidelines are. In the end, software integrity cannot be jeopardised by including AI into development processes. In an increasingly automated development context, strategic implementation is crucial to maximising AI's benefits while protecting against new risks. ","This study examines the opportunities and risks of AI code assistants in secure software development, highlighting the importance of human oversight, security audits, and adherence to DevSecOps and OWASP guidelines to maximize benefits while mitigating new risks."
"Ensuring Code Integrity in the Era of AI-Assisted Software Development","https://scispace.com/paper/ensuring-code-integrity-in-the-era-of-ai-assisted-software-obi5y0udzw1s","2025","Journal Article","","Arthur Pilone","10.1109/icsme64153.2025.00095","","Generative artificial intelligence (GenAI) has taken software engineering by storm, as large language models (LLMs) have quickly come to generate large volumes of human-like text and code. Recent work has shown that, although excellent at mimicking human writing, these models have challenging limitations when writing code. Authors have identified how the code generated can be longer, more complex, worse performing, and contain more serious vulnerabilities than that written by humans. As the use of GenAI now shifts from a bleeding edge novelty to an amenity consolidated as the new status quo for software engineering, a pressing concern arises: It is still unclear how AI-written code impacts the long-term maintenance and evolution of software codebases. This PhD project investigates the previous concern by studying how AI-written code impacts four key qualities of source code: the system's ability to fulfill functional and non-functional requirements, the architectural cohesion, and the comprehensibility of the source code. By interacting with practitioners, analyzing software repositories, and proposing new approaches to using LLMs for software engineering, we expect to develop the theory and basis necessary to balance the benefits in productivity from GenAI with the everpressing needs for long-term software maintenance and evolution.","This PhD project investigates the impact of AI-written code on software codebases, focusing on four key qualities: functional and non-functional requirements, architectural cohesion, and comprehensibility, to balance productivity benefits with long-term maintenance needs."
"Vibe Coding in Practice: Motivations, Challenges, and a Future Outlook -- a Grey Literature Review","https://scispace.com/paper/vibe-coding-in-practice-motivations-challenges-and-a-future-uf7yln1bo1zc","2025","Journal Article","","Fawzy Ahmed
Tahir, Amjed
Blincoe, Kelly","10.48550/arxiv.2510.00328","","AI code generation tools are transforming software development, especially for novice and non-software developers, by enabling them to write code and build applications faster and with little to no human intervention. Vibe coding is the practice where users rely on AI code generation tools through intuition and trial-and-error without necessarily understanding the underlying code. Despite widespread adoption, no research has systematically investigated why users engage in vibe coding, what they experience while doing so, and how they approach quality assurance (QA) and perceive the quality of the AI-generated code. To this end, we conduct a systematic grey literature review of 101 practitioner sources, extracting 518 firsthand behavioral accounts about vibe coding practices, challenges, and limitations. Our analysis reveals a speed-quality trade-off paradox, where vibe coders are motivated by speed and accessibility, often experiencing rapid ``instant success and flow'', yet most perceive the resulting code as fast but flawed. QA practices are frequently overlooked, with many skipping testing, relying on the models' or tools' outputs without modification, or delegating checks back to the AI code generation tools. This creates a new class of vulnerable software developers, particularly those who build a product but are unable to debug it when issues arise. We argue that vibe coding lowers barriers and accelerates prototyping, but at the cost of reliability and maintainability. These insights carry implications for tool designers and software development teams. Understanding how vibe coding is practiced today is crucial for guiding its responsible use and preventing a broader QA crisis in AI-assisted development. ",""
"Do Generative AI Tools Ensure Green Code? An Investigative Study","https://scispace.com/paper/do-generative-ai-tools-ensure-green-code-an-investigative-sf5m3tug0vhd","2025","Journal Article","","Mehra Rohit
Sharma, Vibhu Saujanya
Kaulgud, Vikrant
Podder Sanjay
Burden, Adam P.","10.48550/arxiv.2506.08790","","Software sustainability is emerging as a primary concern, aiming to optimize resource utilization, minimize environmental impact, and promote a greener, more resilient digital ecosystem. The sustainability or ""greenness"" of software is typically determined by the adoption of sustainable coding practices. With a maturing ecosystem around generative AI, many software developers now rely on these tools to generate code using natural language prompts. Despite their potential advantages, there is a significant lack of studies on the sustainability aspects of AI-generated code. Specifically, how environmentally friendly is the AI-generated code based upon its adoption of sustainable coding practices? In this paper, we present the results of an early investigation into the sustainability aspects of AI-generated code across three popular generative AI tools - ChatGPT, BARD, and Copilot. The results highlight the default non-green behavior of tools for generating code, across multiple rules and scenarios. It underscores the need for further in-depth investigations and effective remediation strategies. ",""
"Exploring the Role of Generative AI in Automatic Code Generation for Software Development","https://scispace.com/paper/exploring-the-role-of-generative-ai-in-automatic-code-z0p3xjo3unqa","2025","Repository","","David M. Warburton","10.5281/zenodo.16783990","","Generative Artificial Intelligence (AI) is increasingly revolutionizing software engineering by automating code creation. This paper explores the role of generative AI in automatic code generation, discussing the techniques used, its implications for developer productivity, and the transformative potential it offers in software development workflows. Key technologies such as transformers and pre-trained large language models (LLMs) have enabled tools like OpenAI’s Codex and GitHub Copilot to significantly enhance coding efficiency and reduce errors. Through comprehensive literature review and visual analyses, we examine how this evolution builds upon prior approaches and redefines the programming paradigm ",""
"AI-powered DevOps: the Software Industry Is Re-wiring the Pipeline","https://scispace.com/paper/ai-powered-devops-the-software-industry-is-re-wiring-the-bo7g7q6i6ce0","2025","Journal Article","ACM Sigsoft Software Engineering Notes","Ahmed El-Deeb","10.1145/3772008.3772011","","If you ask any software professional what's keeping the software industry busy these months, they will say AI. But what about AI? Most professionals not involved directly in AI-driven project have the impression that it's about ''using AI to layoff people'', they may say. The reality is more technical than that and it's more concerned about productivity and how to do more with available resources. The main topic of AI is modeling the entire software production pipeline and adding AI power to it. It is using AI to do actual work in the production of software. This is re-writing the entire pipeline. This paper explores this effort. ",""
"AI-Powered Software Development Life Cycle: From Requirements to Maintenance","https://scispace.com/paper/ai-powered-software-development-life-cycle-from-requirements-7l68g82uuiu6","2025","Journal Article","","Sandeep Burte
Sandeep Burte","10.64229/ykh1jf83","","The integration of artificial intelligence into software development represents a paradigmatic shift with profound implications for productivity, quality, and efficiency in modern software engineering practices. This viewpoint paper aims to examine the comprehensive application of generative AI technologies across all Software Development Life Cycle (SDLC) phases, analyze their transformative potential, and provide strategic insights for successful implementation. Through systematic analysis of recent empirical studies and practical implementations, we conducted a comprehensive review of AI applications spanning requirements analysis, system design, coding, testing, deployment, and maintenance phases. AI demonstrates significant capabilities in automating code generation, enhancing testing strategies, optimizing deployment processes, and enabling proactive maintenance approaches. Key applications include natural language processing for requirements refinement, intelligent architecture recommendations, comprehensive test suite generation, and predictive bug detection. Research Implications: Successful AI integration requires gradual implementation strategies, robust quality assurance mechanisms, and maintaining human oversight for critical decisions. Organizations must balance AI automation with human expertise, addressing ethical considerations and security concerns while fostering continuous learning approaches that align AI capabilities with organizational standards and domain-specific requirements. ",""
"Assessing the quality of GitHub copilot’s code generation","https://scispace.com/paper/assessing-the-quality-of-github-copilots-code-generation-3oowmzm5","2022","Proceedings Article","International Conference on Predictive Models in Software Engineering","Burak Yetistiren
Isik Ozsoy
E. Tuzun","10.1145/3558489.3559072","","The introduction of GitHub’s new code generation tool, GitHub Copilot, seems to be the first well-established instance of an AI pair-programmer. GitHub Copilot has access to a large number of open-source projects, enabling it to utilize more extensive code in various programming languages than other code generation tools. Although the initial and informal assessments are promising, a systematic evaluation is needed to explore the limits and benefits of GitHub Copilot. The main objective of this study is to assess the quality of generated code provided by GitHub Copilot. We also aim to evaluate the impact of the quality and variety of input parameters fed to GitHub Copilot. To achieve this aim, we created an experimental setup for evaluating the generated code in terms of validity, correctness, and efficiency. Our results suggest that GitHub Copilot was able to generate valid code with a 91.5% success rate. In terms of code correctness, out of 164 problems, 47 (28.7%) were correctly, while 84 (51.2%) were partially correctly, and 33 (20.1%) were incorrectly generated. Our empirical analysis shows that GitHub Copilot is a promising tool based on the results we obtained, however further and more comprehensive assessment is needed in the future.","In this article , the authors evaluate the quality of generated code provided by GitHub Copilot and evaluate the impact of the quality and variety of input parameters fed to the AI pair-programmer."
