"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Generating Java methods: An empirical assessment of four AI-based code assistants","https://scispace.com/paper/generating-java-methods-an-empirical-assessment-of-four-ai-v7736h8z5f","2024","Journal Article","","Vincenzo Corso
Leonardo Mariani
Daniela Micucci
Oliviero Riganelli","10.1145/3643916.3644402","https://dl.acm.org/doi/pdf/10.1145/3643916.3644402","… codebase, and adapting the code generation routine to the specific … (GitHub Copilot, Amazon CodeWhisperer, and ChatGPT). The study reported the highest success rate for ChatGPT, …","AI-based code assistants are promising tools that can facilitate and speed up code development. They exploit machine learning algorithms and natural language processing to interact with developers, suggesting code snippets (e.g., method implementations) that can be incorporated into projects. Recent studies empirically investigated the effectiveness of code assistants using simple exemplary problems (e.g., the re-implementation of well-known algorithms), which fail to capture the spectrum and nature of the tasks actually faced by developers. In this paper, we expand the knowledge in the area by comparatively assessing four popular AI-based code assistants, namely GitHub Copilot, Tabnine, ChatGPT, and Google Bard, with a dataset of 100 methods that we constructed from real-life open-source Java projects, considering a variety of cases for complexity and dependency from contextual elements. Results show that Copilot is often more accurate than other techniques, yet none of the assistants is completely subsumed by the rest of the approaches. Interestingly, the effectiveness of these solutions dramatically decreases when dealing with dependencies outside the boundaries of single classes."
"Hands-on use and adaptation of AI in developing and testing software applications","https://scispace.com/paper/yab4JsfRpuEJ","","","","M Haeggström","","https://www.diva-portal.org/smash/get/diva2:1897558/FULLTEXT01.pdf","… OpenAI’s ChatGPT, comparing their effectiveness in code generation and analyzes their capabilities, benefits, and challenges. The study combines a literature review and a practical …",""
"The Effects of AI-Assisted Programming in Software Engineering: A Study on GitHub Copilot","https://scispace.com/paper/qgFBltelYs8J","","","","PN Suryavanshi
RD Jadhav","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5742364","… This study investigates the transformative impact of AI-assisted programming through tools like GitHub Copilot on the field of software engineering. With rising reliance on generative AI (…",""
"Beyond code assistance with gpt-4: Leveraging github copilot and chatgpt for peer review in vse engineering","https://scispace.com/paper/O5t5l3rIzWsJ","","","","RE Georgsen","","https://www.ntnu.no/ojs/index.php/nikt/article/download/5674/5113","… proving code quality. LLMs have been evaluated for their effectiveness in code generation … felt more confident in their code quality when authoring with GitHub Copilot. Moreover, code …",""
"Toward artificial intelligence-human paired programming: A review of the educational applications and research on artificial intelligence code-generation tools","https://scispace.com/paper/toward-artificial-intelligence-human-paired-programming-a-1ahciat4lz","2024","Journal Article","Journal of Educational Computing Research","Jiangyue Liu
Siran Li","10.1177/07356331241240460","","… on evaluating the performance of AI code-generation tools. … conducted on the performance of AI-assisted programming tools, a … of code generation: Github Copilot, Codex, and ChatGPT. …","Pair Programming is considered an effective approach to programming education, but the synchronous collaboration of two programmers involves complex coordination, making this method difficult to be widely adopted in educational settings. Artificial Intelligence (AI) code-generation tools have outstanding capabilities in program generation and natural language understanding, creating conducive conditions for pairing with humans in programming. Now some more mature tools are gradually being implemented. This review summarizes the current status of educational applications and research on AI-assisted programming technology. Through thematic coding of literature, existing research focuses on five aspects: underlying technology and tool introduction, performance evaluation, the potential impacts and coping strategies, exploration of behavioral patterns in technological application, and ethical and safety issues. A systematic analysis of current literature provides the following insights for future academic research related to the practice of “human-machine pairing” in programming: (1) Affirming the value of AI code-generation tools while also clearly defining their technical limitations and ethical risks; (2) Developing adaptive teaching ecosystems and educational models, conducting comprehensive empirical research to explore the efficiency mechanisms of AI-human paired programming; (3) Further enriching the application of research methods by integrating speculative research with empirical research, combining traditional methods with emerging technologies."
"How Are We Doing With Using AI-Based Programming Assistants For Privacy-Related Code Generation? The Developers' Experience","https://scispace.com/paper/BiiXFVX3rw4J","","","","K Madampe
J Grundy
N Arachchilage","","https://dl.acm.org/doi/pdf/10.1145/3756681.3757035","… The authors found that ChatGPT struggles to generate code for new and unseen problems. … slightly outperforms ChatGPT when answering privacy questions, but ChatGPT generated …",""
"Is AI Code Generation Undermining Developers' Problem‑Solving Skills?","https://scispace.com/paper/-oVCAfD_COIJ","","","","M Nazir
Y Arif","","https://www.icck.org/filebob/uploads/storage/JSE_FyL0HuDVujarkKO0C.pdf","… The rise of AI tools such as GitHub Copilot and ChatGPT has reshaped software development by providing substantial support for coding and debugging tasks. Although these tools …",""
"Generative AI for software development: A family of studies on code generation","https://scispace.com/paper/generative-ai-for-software-development-a-family-of-studies-19l9c0q1go","2024","Book Chapter","","Arghavan Moradi Dakhel
Amin Nikanjam
Foutse Khomh
Michel C. Desmarais
Hironori Washizaki","10.1007/978-3-031-55642-5_7","","… The experiences of developers in using tools such as Copilot or ChatGPT show that these tools assist them in quickly completing programming tasks [5, 31]. Other studies show that …","The rapid advancements in generative artificial intelligence (AI) offer multiple opportunities for its application in various domains, including software engineering (SE). This chapter explores the benefits and challenges of utilizing generative AI for different activities in the software development cycle that involve code generation. We review different approaches leveraging generative AI, either independently or in combination with traditional SE techniques, to complete a diverse set of tasks including feature implementation, generating test cases, and repairing programs. Additionally, we discuss the potential pitfalls of using generative AI to perform such SE tasks, as well as the quality of the code generated by these models. Finally, we explore research opportunities in harnessing generative AI, with a particular emphasis on tasks that require code generation. "
"Context Engineering for Multi-Agent LLM Code Assistants Using Elicit, NotebookLM, ChatGPT, and Claude Code","https://scispace.com/paper/context-engineering-for-multi-agent-llm-code-assistants-cvoqe4a33fyw","2025","Journal Article","arXiv.org","Muhammad Haseeb","10.48550/arxiv.2508.08322","https://arxiv.org/pdf/2508.08322","… understanding, and a Claude Code multi-agent system for code generation and validation. … -of-the-art performance. Finally, we discuss the implications for deploying LLM-based coding …","Large Language Models (LLMs) have shown promise in automating code generation and software engineering tasks, yet they often struggle with complex, multi-file projects due to context limitations and knowledge gaps. We propose a novel context engineering workflow that combines multiple AI components: an Intent Translator (GPT-5) for clarifying user requirements, an Elicit-powered semantic literature retrieval for injecting domain knowledge, NotebookLM-based document synthesis for contextual understanding, and a Claude Code multi-agent system for code generation and validation. Our integrated approach leverages intent clarification, retrieval-augmented generation, and specialized sub-agents orchestrated via Claude's agent framework. We demonstrate that this method significantly improves the accuracy and reliability of code assistants in real-world repositories, yielding higher single-shot success rates and better adherence to project context than baseline single-agent approaches. Qualitative results on a large Next.js codebase show the multi-agent system effectively plans, edits, and tests complex features with minimal human intervention. We compare our system with recent frameworks like CodePlan, MASAI, and HyperAgent, highlighting how targeted context injection and agent role decomposition lead to state-of-the-art performance. Finally, we discuss the implications for deploying LLM-based coding assistants in production, along with lessons learned on context management and future research directions."
"Coding with ai: How are tools like chatgpt being used by students in foundational programming courses","https://scispace.com/paper/coding-with-ai-how-are-tools-like-chatgpt-being-used-by-4l25b7hfws","2024","Journal Article","Lecture Notes in Computer Science","Ashish Ghimire
John Edwards","10.1007/978-3-031-64299-9_20","","… to ChatGPT, powered by GPT-4, while working on Introductory Computer Programming (CS1) assignments, addressing a gap in empirical … usage patterns of ChatGPT among students, …",""
"Enhancing Developer Productivity: Benchmarking LLM-Powered Tools like GitHub Copilot and TabNine in Real-Time Coding Environments","https://scispace.com/paper/enhancing-developer-productivity-benchmarking-llm-powered-yvjf303q63hf","2025","Journal Article","","Faten Slama
Daniel Lemire","10.1109/ids66066.2025.00011","","… on their impact on productivity, debugging correctness, and workflow … ) GitHub Copilot and TabNine, both extensions for Visual Studio Code. This benchmarking of their performance …",""
"Enhancing security of AI-based code synthesis with GitHub copilot via cheap and efficient prompt-engineering","https://scispace.com/paper/enhancing-security-of-ai-based-code-synthesis-with-github-z17kzsud56","2024","Journal Article","arXiv.org","Jakub Res
Ivan Homoliak
Martin Peresíni
Aleš Smrčka
Kamil Malinka
Petr Hanacek","10.48550/arxiv.2403.12671","https://arxiv.org/pdf/2403.12671?","… to study various ways of improving code security generated by any proprietary Large Language Models (LLMs), and we demonstrate our approach on the well-known GitHub Copilot [6]. …","AI assistants for coding are on the rise. However one of the reasons developers and companies avoid harnessing their full potential is the questionable security of the generated code. This paper first reviews the current state-of-the-art and identifies areas for improvement on this issue. Then, we propose a systematic approach based on prompt-altering methods to achieve better code security of (even proprietary black-box) AI-based code generators such as GitHub Copilot, while minimizing the complexity of the application from the user point-of-view, the computational resources, and operational costs. In sum, we propose and evaluate three prompt altering methods: (1) scenario-specific, (2) iterative, and (3) general clause, while we discuss their combination. Contrary to the audit of code security, the latter two of the proposed methods require no expert knowledge from the user. We assess the effectiveness of the proposed methods on the GitHub Copilot using the OpenVPN project in realistic scenarios, and we demonstrate that the proposed methods reduce the number of insecure generated code samples by up to 16\% and increase the number of secure code by up to 8\%. Since our approach does not require access to the internals of the AI models, it can be in general applied to any AI-based code synthesizer, not only GitHub Copilot."
"Detecting test smells in python test code generated by LLM: An empirical study with GitHub copilot","https://scispace.com/paper/detecting-test-smells-in-python-test-code-generated-by-llm-33y5cxk6wnoy","2024","Journal Article","","Victor Alves
Cristiano da Silva Santos
Carla Bezerra
Ivan Machado","10.5753/sbes.2024.3561","https://sol.sbc.org.br/index.php/sbes/article/download/30398/30204","… evaluate the quality of these generated tests. In this context, this study aims to measure the quality of the test codes generated by GitHub Copilot … its capability in test code generation [7, …","Writing unit tests is a time-consuming and labor-intensive development practice. Consequently, various techniques for automatically generating unit tests have been studied. Among them, the use of Large Language Models (LLMs) has recently emerged as a popular approach for automatically generating tests from natural language descriptions. Although many recent studies are dedicated to measuring the ability of LLMs to write valid unit tests, few evaluate the quality of these generated tests. In this context, this study aims to measure the quality of the test codes generated by GitHub Copilot in Python by detecting test smells in the test cases generated. To do this, we used approaches to generating unit tests by LLMs that have already been applied in the literature and collected a sample of 194 unit test cases in 30 Python test files. We then measured them using tools specialized in detecting test smells in Python. Finally, we conducted an evaluation of these test cases with software developers and software quality assurance professionals. Our results indicated that 47.4% of the tests generated by Copilot had at least one test smell detected, with a lack of documentation in the assertions being the most common quality problem. These findings indicate that although GitHub Copilot can generate valid unit tests, quality violations are still frequently found in these codes. "
"Evaluating Code Generation of LLMs in Advanced Computer Science Problems","https://scispace.com/paper/evaluating-code-generation-of-llms-in-advanced-computer-j1zcpo4xtdix","2025","Journal Article","arXiv.org","Emir Catir
Robin Claesson
Rodothea Myrsini Tsoupidi","10.48550/arxiv.2504.14964","https://romits800.github.io/publications/aied2025.pdf","… When we provided the problem prompt in Figure 1 to Github Copilot, the tool generated the code in Listing 1. The code defines a function pack_items, which takes as input the capacity …",""
"Assessing AI-Based Code Generation using Code Comments","https://scispace.com/paper/_osysXXV85wJ","","","","T Sekar
R ElKharboutly","","","… generated by GitHub Copilot, Tabnine, ChatGPT, … ChatGPT with respect to Python code generation [16]. The results of this study conclude that DeepSeek constantly surpasses ChatGPT…",""
"Generating Java methods: An empirical assessment of four AI-based code assistants","https://scispace.com/paper/generating-java-methods-an-empirical-assessment-of-four-ai-v7736h8z5f","2024","Journal Article","","Vincenzo Corso
Leonardo Mariani
Daniela Micucci
Oliviero Riganelli","10.1145/3643916.3644402","https://dl.acm.org/doi/pdf/10.1145/3643916.3644402","… codebase, and adapting the code generation routine to the specific … (GitHub Copilot, Amazon CodeWhisperer, and ChatGPT). The study reported the highest success rate for ChatGPT, …","AI-based code assistants are promising tools that can facilitate and speed up code development. They exploit machine learning algorithms and natural language processing to interact with developers, suggesting code snippets (e.g., method implementations) that can be incorporated into projects. Recent studies empirically investigated the effectiveness of code assistants using simple exemplary problems (e.g., the re-implementation of well-known algorithms), which fail to capture the spectrum and nature of the tasks actually faced by developers. In this paper, we expand the knowledge in the area by comparatively assessing four popular AI-based code assistants, namely GitHub Copilot, Tabnine, ChatGPT, and Google Bard, with a dataset of 100 methods that we constructed from real-life open-source Java projects, considering a variety of cases for complexity and dependency from contextual elements. Results show that Copilot is often more accurate than other techniques, yet none of the assistants is completely subsumed by the rest of the approaches. Interestingly, the effectiveness of these solutions dramatically decreases when dealing with dependencies outside the boundaries of single classes."
"Hands-on use and adaptation of AI in developing and testing software applications","https://scispace.com/paper/yab4JsfRpuEJ","","","","M Haeggström","","https://www.diva-portal.org/smash/get/diva2:1897558/FULLTEXT01.pdf","… OpenAI’s ChatGPT, comparing their effectiveness in code generation and analyzes their capabilities, benefits, and challenges. The study combines a literature review and a practical …",""
"The Effects of AI-Assisted Programming in Software Engineering: A Study on GitHub Copilot","https://scispace.com/paper/qgFBltelYs8J","","","","PN Suryavanshi
RD Jadhav","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5742364","… This study investigates the transformative impact of AI-assisted programming through tools like GitHub Copilot on the field of software engineering. With rising reliance on generative AI (…",""
"Beyond code assistance with gpt-4: Leveraging github copilot and chatgpt for peer review in vse engineering","https://scispace.com/paper/O5t5l3rIzWsJ","","","","RE Georgsen","","https://www.ntnu.no/ojs/index.php/nikt/article/download/5674/5113","… proving code quality. LLMs have been evaluated for their effectiveness in code generation … felt more confident in their code quality when authoring with GitHub Copilot. Moreover, code …",""
"Toward artificial intelligence-human paired programming: A review of the educational applications and research on artificial intelligence code-generation tools","https://scispace.com/paper/toward-artificial-intelligence-human-paired-programming-a-1ahciat4lz","2024","Journal Article","Journal of Educational Computing Research","Jiangyue Liu
Siran Li","10.1177/07356331241240460","","… on evaluating the performance of AI code-generation tools. … conducted on the performance of AI-assisted programming tools, a … of code generation: Github Copilot, Codex, and ChatGPT. …","Pair Programming is considered an effective approach to programming education, but the synchronous collaboration of two programmers involves complex coordination, making this method difficult to be widely adopted in educational settings. Artificial Intelligence (AI) code-generation tools have outstanding capabilities in program generation and natural language understanding, creating conducive conditions for pairing with humans in programming. Now some more mature tools are gradually being implemented. This review summarizes the current status of educational applications and research on AI-assisted programming technology. Through thematic coding of literature, existing research focuses on five aspects: underlying technology and tool introduction, performance evaluation, the potential impacts and coping strategies, exploration of behavioral patterns in technological application, and ethical and safety issues. A systematic analysis of current literature provides the following insights for future academic research related to the practice of “human-machine pairing” in programming: (1) Affirming the value of AI code-generation tools while also clearly defining their technical limitations and ethical risks; (2) Developing adaptive teaching ecosystems and educational models, conducting comprehensive empirical research to explore the efficiency mechanisms of AI-human paired programming; (3) Further enriching the application of research methods by integrating speculative research with empirical research, combining traditional methods with emerging technologies."
"How Are We Doing With Using AI-Based Programming Assistants For Privacy-Related Code Generation? The Developers' Experience","https://scispace.com/paper/BiiXFVX3rw4J","","","","K Madampe
J Grundy
N Arachchilage","","https://dl.acm.org/doi/pdf/10.1145/3756681.3757035","… The authors found that ChatGPT struggles to generate code for new and unseen problems. … slightly outperforms ChatGPT when answering privacy questions, but ChatGPT generated …",""
"AI Code Generation Tools–Experience and Perspectives of Computer Science Students","https://scispace.com/paper/8sX759bvYK8J","","","","TG Anderson","","","… of AI code generation tools, particularly ChatGPT, among … of ChatGPT assistance. This was followed by an extensive online questionnaire designed to explore the AI code generation …",""
"Generative AI for software development: A family of studies on code generation","https://scispace.com/paper/generative-ai-for-software-development-a-family-of-studies-19l9c0q1go","2024","Book Chapter","","Arghavan Moradi Dakhel
Amin Nikanjam
Foutse Khomh
Michel C. Desmarais
Hironori Washizaki","10.1007/978-3-031-55642-5_7","","… The experiences of developers in using tools such as Copilot or ChatGPT show that these tools assist them in quickly completing programming tasks [5, 31]. Other studies show that …","The rapid advancements in generative artificial intelligence (AI) offer multiple opportunities for its application in various domains, including software engineering (SE). This chapter explores the benefits and challenges of utilizing generative AI for different activities in the software development cycle that involve code generation. We review different approaches leveraging generative AI, either independently or in combination with traditional SE techniques, to complete a diverse set of tasks including feature implementation, generating test cases, and repairing programs. Additionally, we discuss the potential pitfalls of using generative AI to perform such SE tasks, as well as the quality of the code generated by these models. Finally, we explore research opportunities in harnessing generative AI, with a particular emphasis on tasks that require code generation. "
"Context Engineering for Multi-Agent LLM Code Assistants Using Elicit, NotebookLM, ChatGPT, and Claude Code","https://scispace.com/paper/context-engineering-for-multi-agent-llm-code-assistants-cvoqe4a33fyw","2025","Journal Article","arXiv.org","Muhammad Haseeb","10.48550/arxiv.2508.08322","https://arxiv.org/pdf/2508.08322","… understanding, and a Claude Code multi-agent system for code generation and validation. … -of-the-art performance. Finally, we discuss the implications for deploying LLM-based coding …","Large Language Models (LLMs) have shown promise in automating code generation and software engineering tasks, yet they often struggle with complex, multi-file projects due to context limitations and knowledge gaps. We propose a novel context engineering workflow that combines multiple AI components: an Intent Translator (GPT-5) for clarifying user requirements, an Elicit-powered semantic literature retrieval for injecting domain knowledge, NotebookLM-based document synthesis for contextual understanding, and a Claude Code multi-agent system for code generation and validation. Our integrated approach leverages intent clarification, retrieval-augmented generation, and specialized sub-agents orchestrated via Claude's agent framework. We demonstrate that this method significantly improves the accuracy and reliability of code assistants in real-world repositories, yielding higher single-shot success rates and better adherence to project context than baseline single-agent approaches. Qualitative results on a large Next.js codebase show the multi-agent system effectively plans, edits, and tests complex features with minimal human intervention. We compare our system with recent frameworks like CodePlan, MASAI, and HyperAgent, highlighting how targeted context injection and agent role decomposition lead to state-of-the-art performance. Finally, we discuss the implications for deploying LLM-based coding assistants in production, along with lessons learned on context management and future research directions."
"Enhancing Developer Productivity: Benchmarking LLM-Powered Tools like GitHub Copilot and TabNine in Real-Time Coding Environments","https://scispace.com/paper/enhancing-developer-productivity-benchmarking-llm-powered-yvjf303q63hf","2025","Journal Article","","Faten Slama
Daniel Lemire","10.1109/ids66066.2025.00011","","… on their impact on productivity, debugging correctness, and workflow … ) GitHub Copilot and TabNine, both extensions for Visual Studio Code. This benchmarking of their performance …",""
"Enhancing security of AI-based code synthesis with GitHub copilot via cheap and efficient prompt-engineering","https://scispace.com/paper/enhancing-security-of-ai-based-code-synthesis-with-github-z17kzsud56","2024","Journal Article","arXiv.org","Jakub Res
Ivan Homoliak
Martin Peresíni
Aleš Smrčka
Kamil Malinka
Petr Hanacek","10.48550/arxiv.2403.12671","https://arxiv.org/pdf/2403.12671?","… to study various ways of improving code security generated by any proprietary Large Language Models (LLMs), and we demonstrate our approach on the well-known GitHub Copilot [6]. …","AI assistants for coding are on the rise. However one of the reasons developers and companies avoid harnessing their full potential is the questionable security of the generated code. This paper first reviews the current state-of-the-art and identifies areas for improvement on this issue. Then, we propose a systematic approach based on prompt-altering methods to achieve better code security of (even proprietary black-box) AI-based code generators such as GitHub Copilot, while minimizing the complexity of the application from the user point-of-view, the computational resources, and operational costs. In sum, we propose and evaluate three prompt altering methods: (1) scenario-specific, (2) iterative, and (3) general clause, while we discuss their combination. Contrary to the audit of code security, the latter two of the proposed methods require no expert knowledge from the user. We assess the effectiveness of the proposed methods on the GitHub Copilot using the OpenVPN project in realistic scenarios, and we demonstrate that the proposed methods reduce the number of insecure generated code samples by up to 16\% and increase the number of secure code by up to 8\%. Since our approach does not require access to the internals of the AI models, it can be in general applied to any AI-based code synthesizer, not only GitHub Copilot."
"Usage of large language model for code generation tasks: A review","https://scispace.com/paper/usage-of-large-language-model-for-code-generation-tasks-a-31bf2cgjeyrp","2025","Journal Article","SN computer science","Stefano Bistarelli
Marco Fiore
Ivan Mercanti
Marina Mongiello","10.1007/s42979-025-04241-5","https://link.springer.com/content/pdf/10.1007/s42979-025-04241-5.pdf","… potential for ChatGPT to enhance productivity in … ChatGPT’s code generation performance from diverse perspectives across social media platforms. The analysis reveals that ChatGPT is …",""
"Assessing the promise and pitfalls of ChatGPT for automated code generation","https://scispace.com/paper/assessing-the-promise-and-pitfalls-of-chatgpt-for-automated-4ntscyo8r9","2023","Journal Article","arXiv.org","Muhammad Fawad Akbar Khan
Max Ramsdell
Erik Falor
Hamid Karimi","10.48550/arxiv.2311.02640","https://arxiv.org/pdf/2311.02640","… evaluation of the code generation capabilities of ChatGPT, a prominent large language model, compared to human programmers. A novel dataset of 131 code-generation … ChatGPT and …","This paper presents a comprehensive evaluation of the code generation capabilities of ChatGPT, a prominent large language model, compared to human programmers. A novel dataset of 131 code-generation prompts across 5 categories was curated to enable robust analysis. Code solutions were generated by both ChatGPT and humans for all prompts, resulting in 262 code samples. A meticulous manual assessment methodology prioritized evaluating correctness, comprehensibility, and security using 14 established code quality metrics. The key findings reveal ChatGPT's strengths in crafting concise, efficient code with advanced constructs, showcasing strengths in data analysis tasks (93.1% accuracy) but limitations in visual-graphical challenges. Comparative analysis with human code highlights ChatGPT's inclination towards modular design and superior error handling. Additionally, machine learning models effectively distinguished ChatGPT from human code with up to 88% accuracy, suggesting detectable coding style disparities. By providing profound insights into ChatGPT's code generation capabilities and limitations through quantitative metrics and qualitative analysis, this study makes valuable contributions toward advancing AI-based programming assistants. The curated dataset and methodology offer a robust foundation for future research in this nascent domain. All data and codes are available on https://github.com/DSAatUSU/ChatGPT-promises-and-pitfalls."
"Security Evaluation of AI-Generated Code: A Comparative Study of ChatGPT, Copilot, And Gemini through Static and Dynamic Analysis","https://scispace.com/paper/security-evaluation-of-ai-generated-code-a-comparative-study-il9b3wn1vpm0","2025","Journal Article","Gazi mühendislik bilimleri dergisi","Onur Ceran","10.30855/gmbd.070525a13","https://dergipark.org.tr/en/download/article-file/4964707","… these tools provide distinct advantages in code generation, they also introduce varying levels of … LLMs toward adherence to standard coding practices during source code generation. …",""
"A systematic literature review on the impact of AI models on the security of code generation","https://scispace.com/paper/a-systematic-literature-review-on-the-impact-of-ai-models-on-xhaaiisa52","2024","Journal Article","Frontiers in big data","Claudia Negri-Ribalta
Rémi Geraud-Stewart
Anastasia Sergeeva
Gabriele Lenzini","10.3389/fdata.2024.1386720","https://www.frontiersin.org/journals/big-data/articles/10.3389/fdata.2024.1386720/pdf","… is an idea that dates back at least as far back as the public release of OpenAI's ChatGPT. … code acceptation between GitHub Copilot and its bare model OpenAI Codex. The exploration …","Artificial Intelligence (AI) is increasingly used as a helper to develop computing programs. While it can boost software development and improve coding proficiency, this practice offers no guarantee of security. On the contrary, recent research shows that some AI models produce software with vulnerabilities. This situation leads to the question: How serious and widespread are the security flaws in code generated using AI models?Through a systematic literature review, this work reviews the state of the art on how AI models impact software security. It systematizes the knowledge about the risks of using AI in coding security-critical software.It reviews what security flaws of well-known vulnerabilities (e.g., the MITRE CWE Top 25 Most Dangerous Software Weaknesses) are commonly hidden in AI-generated code. It also reviews works that discuss how vulnerabilities in AI-generated code can be exploited to compromise security and lists the attempts to improve the security of such AI-generated code.Overall, this work provides a comprehensive and systematic overview of the impact of AI in secure coding. This topic has sparked interest and concern within the software security engineering community. It highlights the importance of setting up security measures and processes, such as code verification, and that such practices could be customized for AI-aided code production."
"Navigating software development in the ChatGPT and GitHub Copilot era","https://scispace.com/paper/navigating-software-development-in-the-chatgpt-and-github-4q0js2e96v","2024","Journal Article","Business Horizons","Stephen L. France","10.1016/j.bushor.2024.05.009","","… of a trial version of the chatbot ChatGPT. ChatGPT was developed by OpenAI utilizing the GPT-3 … ChatGPT and similar LLMs can generate creative output from simple user prompts and …","Generative AI (artificial intelligence) technologies using LLMs (large language models), such as ChatGPT and GitHub Copilot, with the ability to create code, have the potential to change the software development landscape. Will this process be incremental, with software developers learning generative AI skills to supplement their existing skills, or will the process be more destructive, with the loss of large numbers of development jobs and a radical change in the responsibilities of the remaining developers? Given the rapid growth of AI capabilities, it is impossible to provide a crystal ball, but this article aims to give insight into the adoption of generative AI with LLMs in software development. The article gives an overview of the software development industry and the job functions of software developers. A literature review combined with a content analysis of online comments from developers gives insight into how generative AI implemented with LLMs is changing software development and how developers are responding to these changes. The article ties the academic and developer insights together into recommendations for software developers, and describes a CMM (capability maturity model) framework for assessing and improving LLM development usage. "
"Guiding chatgpt for better code generation: An empirical study","https://scispace.com/paper/guiding-chatgpt-for-better-code-generation-an-empirical-3wthbnu0ge","2024","Journal Article","","Chao Liu
Xuanlin Bao
Hongyu Zhang
Neng Zhang
Haibo Hu
Xiaohong Zhang
Kaiping Zhang","10.1109/saner60148.2024.00018","https://drive.google.com/file/d/1lZHcKidFSHirxOG05UONQmAV7mxQgBvX/view","… report an empirical study that investigate the capability of ChatGPT in code generation with … We have conducted an evaluation of ChatGPT’s code generation capabilities using the …","Automated code generation is a powerful technique for software development, which can significantly reduce developers' effort and time for writing code. Recently, OpenAI's large language model ChatGPT has emerged as a powerful tool for generating human-like responses to a wide range of textual inputs (i.e., prompts), including those related to code generation. However, the effectiveness of ChatGPT in code generation is still not well understood. The code generation performance could also be heavily influenced by the choice of prompts, which should be further explored. In this paper, we report an empirical study on ChatGPT's capabilities for two types of code generation tasks, namely text-to-code and code-to-code generation. We investigate different types of prompts by leveraging the chain-of-thought strategy with multi-step optimizations. Our empirical results show that by carefully designing prompts to guide ChatGPT, the code generation performance can be improved substantially. We also analyze the factors that influence the prompt design and provide insights that could guide future research."
"Can chatgpt support developers? an empirical evaluation of large language models for code generation","https://scispace.com/paper/can-chatgpt-support-developers-an-empirical-evaluation-of-1258n9yqdv","2024","Journal Article","","Kailun Jin
Chung-Yu Wang
Hung Viet Pham
Hadi Hemmati","10.1145/3643991.3645074","https://dl.acm.org/doi/pdf/10.1145/3643991.3645074","… evaluate the limitations and practicality of applying ChatGPT in real-world data practice. To address this evaluation … have a conversation with ChatGPT for code generation and how they …","Large language models (LLMs) have demonstrated notable proficiency in code generation, with numerous prior studies showing their promising capabilities in various development scenarios. However, these studies mainly provide evaluations in research settings, which leaves a significant gap in understanding how effectively LLMs can support developers in real-world. To address this, we conducted an empirical analysis of conversations in DevGPT, a dataset collected from developers' conversations with ChatGPT (captured with the Share Link feature on platforms such as GitHub). Our empirical findings indicate that the current practice of using LLM-generated code is typically limited to either demonstrating high-level concepts or providing examples in documentation, rather than to be used as production-ready code. These findings indicate that there is much future work needed to improve LLMs in code generation before they can be integral parts of modern software development."
"Comparative study of ai code generation tools: quality assessment and performance analysis","https://scispace.com/paper/comparative-study-of-ai-code-generation-tools-quality-69cue8r5s2u1","2024","Journal Article","","M.C. Munoz
Juan Camilo Jaramillo De La Torre
Sheyla Maribel Blas López
Stiven Herrera
Christian Andrés Candela Uribe","10.62486/latia2024104","https://dialnet.unirioja.es/descarga/articulo/9873203.pdf","… observed that the GitHub Copilot tool presented the lowest performance in the evaluation, with … identified: the Textsynth and Amazon CodeWhisperer tools were discarded after the third …","Artificial intelligence (AI) code generation tools are crucial in software development, processing natural language to improve programming efficiency. Their increasing integration in various industries highlights their potential to transform the way programmers approach and execute software projects. The present research was conducted with the purpose of determining the accuracy and quality of code generated by artificial intelligence (AI) tools. The study began with a systematic mapping of the literature to identify applicable AI tools. Databases such as ACM, Engineering Source, Academic Search Ultimate, IEEE Xplore and Scopus were consulted, from which 621 papers were initially extracted. After applying inclusion criteria, such as English-language papers in computing areas published between 2020 and 2024, 113 resources were selected. A further screening process reduced this number to 44 papers, which identified 11 AI tools for code generation. The method used was a comparative study in which ten programming exercises of varying levels of difficulty were designed and the results obtained from 4 of them are presented. The identified tools generated code for these exercises in different programming languages. The quality of the generated code was evaluated using the SonarQube static analyzer, considering aspects such as safety, reliability and maintainability. The results showed significant variations in code quality among the AI tools. Bing as a code generation tool showed slightly superior performance compared to others, although none stood out as a noticeably superior AI. In conclusion, the research evidenced that, although AI tools for code generation are promising, they still require a pilot to reach their full potential, giving evidence that there is still a long way to go. "
"Programming is hard-or at least it used to be: Educational opportunities and challenges of ai code generation","https://scispace.com/paper/AwosRmAlsGAJ","","","","BA Becker
P Denny
J Finnie-Ansley","","https://dl.acm.org/doi/pdf/10.1145/3545945.3569759","… challenges presented by automated code generation tools. On the … Additionally, automated code generation tools can … OpenAI API8 and also powers GitHub Copilot9 which is billed as “…",""
"Accelerating software development with AI: exploring the impact of ChatGPT and GitHub Copilot.","https://scispace.com/paper/0mRfDz7vY80J","","","","I Solohubov
A Moroz
MY Tiahunova
HH Kyrychek","","https://ceur-ws.org/Vol-3679/paper17.pdf","… – Copilot and ChatGPT. Their combination, serving as a tool for rapid code generation/… One of the recently released tools is OpenAI Codex from the GPT-3 project, which is used in …",""
