"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Can ChatGPT Support Developers? An Empirical Evaluation of Large Language Models for Code Generation","https://scispace.com/paper/can-chatgpt-support-developers-an-empirical-evaluation-of-jt0vcyod6bzw","2024","Repository","","Jin Kailun
Pham Hung Viet
Hemmati, Hadi","10.48550/arxiv.2402.11702","","Large language models (LLMs) have demonstrated notable proficiency in code generation, with numerous prior studies showing their promising capabilities in various development scenarios. However, these studies mainly provide evaluations in research settings, which leaves a significant gap in understanding how effectively LLMs can support developers in real-world. To address this, we conducted an empirical analysis of conversations in DevGPT, a dataset collected from developers' conversations with ChatGPT (captured with the Share Link feature on platforms such as GitHub). Our empirical findings indicate that the current practice of using LLM-generated code is typically limited to either demonstrating high-level concepts or providing examples in documentation, rather than to be used as production-ready code. These findings indicate that there is much future work needed to improve LLMs in code generation before they can be integral parts of modern software development. ",""
"Generative Artificial Intelligence for Software Engineering - a Research Agenda","https://scispace.com/paper/generative-artificial-intelligence-for-software-engineering-4xbjvhadbd","2023","Preprint","","Anh NguyenDuc
Beatriz Cabrero-Daniel
Chetan Arora
Adam Przybyłek
Dron Khanna
Tomas Herda
Usman Rafiq
Jorge Melegati
Eduardo Guerra
Kai‐Kristian Kemell
Mohd Yusof Saari
Zheying Zhang
Hung Lê
Tho Quan
Pekka Abrahamsson","10.2139/ssrn.4622517","","Generative Artificial Intelligence (GenAI) tools have become increasingly prevalent in software development, offering assistance to various managerial and technical project activities. Although many recent publications have explored and evaluated the application of GenAI, a comprehensive understanding of the current development, applications, limitations, and open challenges remains unclear to many. Particularly, we do not have an overall picture of the current state of GenAI technology in practical software engineering usage scenarios. We conducted a literature review and focus groups for a duration of five months to develop a research agenda on GenAI for Software Engineering. We identified 78 open Research Questions (RQs) in 11 areas of Software Engineering. Our results show that it is possible to explore the adoption of GenAI in partial automation and support decision-making in all software development activities. While the current literature is skewed toward software implementation, quality assurance and software maintenance, other areas, such as requirements engineering, software design, and software engineering education, would need further research attention. GenAI is bringing significant changes to the field of software engineering. We believe that this research agenda holds significance and practical value for informing both researchers and practitioners about current applications and guiding future research. ","The research agenda on generative AI for software engineering identifies 78 open research questions in 11 areas of software engineering. It explores the adoption of generative AI in partial automation and support decision-making in all software development activities."
"Impact of Automated Software Development Using Large Language Models: Capabilities, Limitations, and Future Evolution","https://scispace.com/paper/impact-of-automated-software-development-using-large-mfx3939h8lhl","2025","Repository","","MD Raziul Hasan Nayon
MST Ashima Alom Shova","10.5281/zenodo.17151145","","&lt;p&gt;ABSTRACT: The rapid integration of Large Language Models (LLMs) in the field of software engineering is very much changing the methods of coding, which, at the same time, are also being maintained and optimized. Through this article the journey of the coming of capabilities and restrictions as well as the direction of the future of software development with LLM is monitored. The authors of this article have given a detailed survey of LLM utilization in various stages of the life cycle of development organization, a number of them being code generation, bug detection, automated testing, documentation, and translation of natural language into code, productivity, quality, and accessibility being among the improvements indicated. It is demonstrated through comparative analyses that LLMs&rsquo; performance is more favorable than that of traditional and rule-based approaches, while the positions of developers, project managers, and executives as stakeholders reveal that they are both excited about the efficiency gains and, on the other hand, concerned about issues of technical reliability, data privacy, and over-reliance on automation. The main problems that LLMs are facing today&mdash;like hallucinations, being out-of-date, not having a very large context, and depending too much on prompt engineering&mdash;are plainly revealed along with the proposed solutions. Next, we consider progress in the field of multimodal and context-aware systems, autonomous software agents, continuous learning, and human-AI co-creation platforms. LLM-assisted development is likely to change the face of challenges if it is going to be fully materialized, thus bringing about the birth of a new era of collaborative, efficient, and innovative software engineering.&lt;/p&gt; ",""
"A Systematic Study on the Potentials and Limitations of LLM-assisted Software Development","https://scispace.com/paper/a-systematic-study-on-the-potentials-and-limitations-of-llm-64x7h39rltmc","","","","Chiara Michelutti
Jens Eckert
Milko Monecke
Julian Klein
Sabine Glesner","10.1109/fllm63129.2024.10852455","","In the field of software engineering, Large Language Models like GPT have gained enormous interest in recent times. With its expanding area of application, ChatGPT has become an essential tool for code generation. Several studies have shown that the quality of generated code depends on the underlying dataset and the quality of the provided prompts. However, its precise capabilities and limitations remain uncertain, as does the extent of assistance required for effective code generation. We present the results of our systematic study in which we investigate the potential of ChatGPT, based on GPT-4, in solving assignments of an introductory-level programming class. We examine the impact of programming language choice, different prompting strategies, and the results of the model compared to those of real students. Our results show that ChatGPT cannot solve the assignments independently, but outperforms the average student with human assistance.","This study investigates the potential of ChatGPT in solving introductory-level programming assignments, finding that it outperforms average students with human assistance, but cannot solve assignments independently, highlighting its limitations and potential applications in software development."
"Use of AI-driven Code Generation Models in Teaching and Learning Programming: a Systematic Literature Review","https://scispace.com/paper/use-of-ai-driven-code-generation-models-in-teaching-and-5e8ttxrnfg","2024","","","Doga Cambaz
Xiaoling Zhang","10.1145/3626252.3630958","","The recent emergence of LLM-based code generation models can potentially transform programming education. To pinpoint the current state of research on using LLM-based code generators to support the teaching and learning of programming, we conducted a systematic literature review of 21 papers published since 2018. The review focuses on (1) the teaching and learning practices in programming education that utilized LLM-based code generation models, (2) characteristics and (3) performance indicators of the models, and (4) aspects to consider when utilizing the models in programming education, including the risks and challenges. We found that the most commonly reported uses of LLM-based code generation models for teachers are generating assignments and evaluating student work, while for students, the models function as virtual tutors. We identified that the models exhibit accuracy limitations; generated content often contains minor errors that are manageable by instructors but pose risks for novice learners. Moreover, risks such as academic misconduct and over-reliance on the models are critical when considering integrating these models into education. Overall, LLM-based code generation models can be an assistive tool for both learners and instructors if the risks are mitigated.","LLM-based code generation models can be used to generate assignments, evaluate student work, and act as virtual tutors. However, they exhibit accuracy limitations and raise concerns about academic misconduct and over-reliance."
"A Review on Code Generation with LLMs: Application and Evaluation","https://scispace.com/paper/a-review-on-code-generation-with-llms-application-and-27joied3jl","2023","Proceedings Article","","Jianxun Wang
Yixiang Chen","10.1109/medai59581.2023.00044","","Code generation is a longstanding subject in the field of computer science and software engineering, which aims at realizing an agent capable of writing code automatically aligning with human desire. With the booming development of large language models (LLMs) in recent years, code generation techniques powered by LLMs with strong coding ability have caught many researchers' interest. In this study, we conduct a review of recent studies about code generation with LLMs, from the application of LLM-based code generation to the evaluation of LLM-generated code. We find, with the powerful code understanding and writing ability LLMs provide, these novel techniques can be applied to manage various software engineering tasks, and indeed boost the productivity of developers to a great extent. But we also find, as an equally important subject, the evaluation receives less attention from researchers than the application. We conclude some limitations in existing studies about the evaluation of code generated by LLMs, like inadequate quality characteristics considered. And we think more effort is needed to narrow the gap between research on the evaluation and the application. ","This study reviews recent code generation techniques powered by large language models (LLMs), highlighting their applications in software engineering and limitations in evaluating generated code quality, emphasizing the need for more research on evaluation."
"On the Use of ChatGPT for Code Review: Do Developers Like Reviews By ChatGPT?","https://scispace.com/paper/on-the-use-of-chatgpt-for-code-review-do-developers-like-56d6e9nrw3","2024","Journal Article","","Masayoshi Watanabe
Yutaro Kashiwa
B. Lin
Toshiki Hirao
K Yamaguchi
Hajimu Iida","10.1145/3661167.3661183","","Code review is a critical but time-consuming process for ensuring code quality in modern software engineering. To alleviate the effort of reviewing source code, recent studies have investigated the possibility of automating the review process. Moreover, tools based on large language models such as ChatGPT are playing an increasingly important role in this vision. Understanding how these tools are used during code review can provide valuable insights for code review automation. This study investigates for what purposes developers use ChatGPT during code review and how developers react to the information and suggestions provided by ChatGPT. We manually analyze 229 review comments in 205 pull requests from 179 projects. We find that developers often use ChatGPT for outsourcing their work as frequently as asking for references. Moreover, we observe that only 30.7% of responses to the answers provided by ChatGPT are negative. We further analyze the reasons behind the negative reactions. Our results provide valuable insights for improving the effectiveness of LLMs in code reviews.","ChatGPT is commonly used for outsourcing work and providing suggestions in code reviews. Most responses to ChatGPT's answers are positive, but a significant portion of developers express negative reactions due to concerns about accuracy, bias, and lack of understanding."
"Designing Empirical Studies on LLM-Based Code Generation: Towards a Reference Framework","https://scispace.com/paper/designing-empirical-studies-on-llm-based-code-generation-t397ytre5klv","2025","Journal Article","","Nascimento, Nathalia
Guimaraes Everton
Alencar Paulo","10.48550/arxiv.2510.03862","","The rise of large language models (LLMs) has introduced transformative potential in automated code generation, addressing a wide range of software engineering challenges. However, empirical evaluation of LLM-based code generation lacks standardization, with studies varying widely in goals, tasks, and metrics, which limits comparability and reproducibility. In this paper, we propose a theoretical framework for designing and reporting empirical studies on LLM-based code generation. The framework is grounded in both our prior experience conducting such experiments and a comparative analysis of key similarities and differences among recent studies. It organizes evaluation around core components such as problem sources, quality attributes, and metrics, supporting structured and systematic experimentation. We demonstrate its applicability through representative case mappings and identify opportunities for refinement. Looking forward, we plan to evolve the framework into a more robust and mature tool for standardizing LLM evaluation across software engineering contexts. ",""
"Generating and Reviewing Programming Codes with Large Language Models: A Systematic Mapping Study","https://scispace.com/paper/generating-and-reviewing-programming-codes-with-large-1lsyvq7nm1","2024","Journal Article","","Beatriz Ventorini Lins de Albuquerque
Antonio Fernando Souza da Cunha
Leonardo Souza
Sean W. M. Siqueira
Rodrigo Pereira dos Santos","10.1145/3658271.3658342","","Context: The proliferation of technologies based on Large Language Models (LLM) is reshaping various domains, also impacting on programming code creation and review. Problem: The decision-making process in adopting LLM in software development demands an understanding of associated challenges and diverse application possibilities. Solution: This study addresses the identified challenges linked to LLM utilization in programming code processes. It explores models, utilization strategies, challenges, and coping mechanisms, focusing on the perspectives of researchers in software development. IS Theory: Drawing on Task-Technology Fit (TTF) theory, the research examines the alignment between task characteristics in code generation and review, and LLM technology attributes to discern performance impacts and utilization patterns. Method: Employing the Systematic Mapping of the Literature method, the research analyzes 19 selected studies from digital databases—IEEE Digital Library, Compendex Engineering Village, and Scopus—out of 1,257 retrieved results. Summary of Results: The research reveals 23 models, 13 utilization strategies, 15 challenges, and 14 coping mechanisms associated with LLM in programming code processes, offering a comprehensive understanding of the application landscape. Contributions to IS: Contributing to the Information Systems (IS) field, This study provides valuable insights into the utilization of LLM in programming code generation and review. The identified models, strategies, challenges, and coping mechanisms offer practical guidance for decision-making processes related to LLM technology adoption. The research aims to support the IS community in effectively navigating the complexities of integrating large language models into the dynamic software development lifecycle.","This study explores the utilization of Large Language Models (LLM) in programming code generation and review, focusing on the perspectives of researchers in software development. It provides a comprehensive overview of models, strategies, challenges, and coping mechanisms associated with LLM in code processes, contributing to the IS field."
"Towards Proficiency Assessment Through Code","https://scispace.com/paper/towards-proficiency-assessment-through-code-ua9jhouqxk3u","2025","Journal Article","","Ruksit Rojpaisarnkit
Ken-ichi Matsumoto","10.1109/icsme64153.2025.00093","","In an era increasingly shaped by generative AI, code understanding remains a critical foundation for ensuring software quality, reliability, and maintainability. While AI systems can accelerate code generation, developers still face substantial challenges in comprehending, debugging, and effectively integrating the resulting artifacts. Code proficiency, defined not only by comprehension but also by the ability to write efficient, idiomatic code, plays a central role in addressing these challenges. Existing tools, such as those assigning CEFR-based levels, which outline six levels of proficiency from A1 to C2, to code constructs that offer initial frameworks for assessing code difficulty. However, their manually derived classifications lack empirical validation and often diverge from pedagogical progressions found in computer science textbooks. This research seeks to address the absence of a standardized, data-driven metric for determining the proficiency levels required to understand specific programming elements. We propose an automated framework grounded in textbook analysis and clustering techniques to establish a scalable proficiency metric applicable to both human-written and AI-generated code. Preliminary findings reveal strong alignment with educational sequencing and suggest promising applications in AI-assisted software development, particularly in enhancing code review workflows and tailoring AI-generated code to developers' proficiency levels.","Researchers propose an automated framework to assess code proficiency, leveraging textbook analysis and clustering techniques, to establish a standardized metric for understanding programming elements, applicable to human-written and AI-generated code."
"Adoption of AI across the Software Development Life Cycle","https://scispace.com/paper/adoption-of-ai-across-the-software-development-life-cycle-jxgr8ln2n8mm","2025","Repository","","Farooqi Sadaf","10.5281/zenodo.17327059","","Despite the growing adoption of AI across the SDLC, existing literature predominantly focuses on the implementation phase—specifically on AI-generated code. While there is ample research comparing human and AI-generated code for quality, performance, and vulnerability (Liu et al., 2024; Li et al., 2024), a comprehensive understanding of how AI affects the broader SDLC remains elusive. Moreover, most studies emphasize capabilities of AI rather than practical realities faced by developers and organizations. For instance, there is limited empirical data on how AI tools support non-coding activities like requirements elicitation, design evaluation, or release planning. Additionally, organizational factors such as AI governance, developer trust, team integration, and ethical concerns are underrepresented in scholarly work. Industry claims often lack peer-reviewed support, and case studies remain anecdotal. This research aims to bridge these gaps by exploring AI integration in a practical, holistic, and empirically grounded manner across all phases of the SDLC. ",""
"Exploring the Role of Large Language Models in Automated Code Review and Software Quality Enhancement","https://scispace.com/paper/exploring-the-role-of-large-language-models-in-automated-oj12sl5rve9s","2023","Journal Article","International Journal of Innovative Research in Science, Engineering and Technology","Gopinath Kathiresan","10.15680/ijirset.2023.1209004","","As the newest, most savvy technology domain, Large Language Models (LLMs) are the technological force which is now revolutionizing Automated Code Review and Software Quality Assurance, making the context aware analysis, adaptive learning, and the intelligent recommendations. However, traditional code review methods are not only time consuming, but also prone to human error and are not scalable. The use of LLMs in software engineering allows for the detection of defects, optimization of performance and the maintenance of improve mental quality. In this study, we examine the path of automated code review, LLM capabilities and the effect they have on software quality. LLMs clearly have great advantages, but accuracy is still a concern, false positives abound, biases lurk, and computation can be a constraint. The research also identifies areas of future advancement on the hybrid AI-human review systems as well as improved LLM architectures that understand the code significantly better for more robust reviews. ","Large Language Models (LLMs) revolutionize Automated Code Review and Software Quality Assurance with context-aware analysis, adaptive learning, and intelligent recommendations, but accuracy concerns, false positives, biases, and computation constraints hinder their full potential."
